SCENARIO ID,DATE,EVENT TYPE,PROCESS AREA,LOSS AMOUNT(USD),FREQUENCY,SEVERITY,OPVAR(%),ML,GDP (%),VIX,TARGET,MONTH,QUARTER,YEAR,DAY_OF_WEEK,LOSS_PER_FREQ,SEV_OPVAR_RATIO,RISK_COMPOSITE,ML_VIX_INTERACT,GDP_VIX_RATIO,EVENT_ENC,PROCESS_ENC,SCENARIO_PREFIX,SCENARIO_ENC,ANOMALY_ISO,ANOMALY_SCORE,ZSCORE_LOSS,ANOMALY_Z,ANOMALY_COMBINED,PREDICTED_LOSS,PREDICTED_TARGET,PROB_HIGH_RISK,RISK_SCORE,ALERT_TIER
ALE-0302,2022-05-12,Cyber-Fraud,ATM Network,169.84,4,1.15,1.49,1.6,3.0,22,0,5,2,2022,3,42.459999989385,0.771812080018918,6.853999999999999,35.2,0.136363636357438,0,0,ALE,0,0,-0.0889923651985709,0.7623525402003024,0,0,171.97967227167814,0,0.3274777446733281,40.541522351143115,MEDIUM
ALE-1159,2022-09-09,Phishing,E-Banking,86.18,3,1.41,1.86,1.41,2.5,28,2,9,3,2022,4,28.726666657091112,0.7580645157214706,7.8678,39.48,0.0892857142825255,2,1,ALE,0,0,-0.06747076781346045,0.33221250035899724,0,0,91.12237131545561,2,0.45542015635903654,35.49998516679052,MEDIUM
ALE-0121,2022-06-11,Cyber-Fraud,Online Services,46.53,3,2.68,2.35,1.84,3.1,27,0,6,2,2022,5,15.50999999483,1.1404255314296061,18.894000000000002,49.68,0.11481481481056242,0,2,ALE,0,0,-0.05590470953698601,0.8509730054770493,0,0,59.6496276412963,0,0.32551447971734465,27.68798230058096,LOW
OLE-0760,2023-11-18,Cyber-Fraud,Retail Banking,85.32,5,0.42,1.04,1.0,2.6,22,2,11,4,2023,5,17.0639999965872,0.4038461534578402,2.184,22.0,0.11818181817644628,0,4,OLE,1,0,-0.01831740096743273,0.34346430450531584,0,0,71.26446623391143,2,0.44484765211626665,38.84537846570296,MEDIUM
ALE-0017,2022-12-12,Data Breach,E-Banking,111.74,4,1.14,3.18,3.22,3.4,25,0,12,4,2022,0,27.93499999301625,0.3584905659250029,14.5008,80.5,0.13599999999456,1,1,ALE,0,0,-0.011771473043227676,0.002201585664140293,0,0,112.37413832247499,0,0.18992740154532237,37.17628747507022,MEDIUM
OLE-0110,2022-12-14,Tech Failure,Payments,77.12,4,0.73,1.48,1.0,3.7,14,2,12,4,2022,2,19.279999995180003,0.49324324290997074,4.3216,14.0,0.2642857142668367,4,3,OLE,1,0,-0.035358931523299275,0.45074894869114235,0,0,74.16847153573856,0,0.2527373847235746,30.21850354496275,MEDIUM
ALE-0320,2022-01-30,Phishing,ATM Network,144.96,4,1.08,2.15,2.65,3.8,29,1,1,1,2022,6,36.23999999094,0.5023255811617091,9.288,76.85,0.13103448275410226,2,0,ALE,0,0,-0.01078679264012039,0.4368352295486723,0,0,151.76950195166415,1,0.18863257660289606,43.35189265809543,MEDIUM
OLE-0260,2023-05-25,Cyber-Fraud,ATM Network,41.98,2,1.15,0.92,1.0,3.0,20,2,5,2,2023,3,20.989999989504998,1.2499999986413042,2.116,20.0,0.1499999999925,0,0,OLE,1,0,-0.10340032145709055,0.9105028995069897,0,0,50.9196549264332,2,0.4560925384994753,24.35582571799752,LOW
ALE-0840,2022-06-14,System Failure,Retail Banking,171.13,2,2.73,3.08,2.5,4.0,23,2,6,2,2022,1,85.5649999572175,0.8863636360758559,16.8168,57.5,0.17391304347069944,3,4,ALE,0,0,-0.03768344702008697,0.7792302464197799,0,0,183.4972327171302,2,0.4931080853927714,55.19774695833565,HIGH
OLE-0480,2022-08-23,Tech Failure,E-Banking,23.7,1,1.45,1.39,1.0,3.5,21,1,8,3,2022,1,23.6999999763,1.0431654668754204,2.0155,21.0,0.16666666665873014,4,1,OLE,1,0,-0.08119707473645477,1.149669155082223,0,0,41.49484628092743,1,0.35271325709345097,22.34562494471849,LOW
ALE-0250,2022-10-01,Tech Failure,Payments,199.57,1,0.87,1.79,1.25,3.7,22,0,10,4,2022,5,199.56999980042997,0.4860335192815455,1.5573000000000001,27.5,0.16818181817417355,4,3,ALE,0,0,-0.040839229398110466,1.1513247928398909,0,0,196.57401048310336,0,0.20752389939013435,46.786684343953304,MEDIUM
OLE-0837,2022-07-08,Cyber-Fraud,Payments,95.33,4,0.63,0.9,1.0,3.7,15,1,7,3,2022,4,23.832499994041875,0.6999999992222222,2.2680000000000002,15.0,0.24666666665022224,0,3,OLE,1,0,-0.06555406796683899,0.2124985376394469,0,0,82.78455173860544,2,0.4483110304524856,34.227784353144315,MEDIUM
ALE-1149,2022-12-18,System Failure,Online Services,104.39,5,2.58,1.8,1.32,2.9,17,1,12,4,2022,6,20.8779999958244,1.433333332537037,23.220000000000002,22.44,0.17058823528408304,3,2,ALE,0,0,-0.034540649920335786,0.09396208930730182,0,0,99.57057261658277,1,0.2767890339919948,35.09686047479279,MEDIUM
OLE-0071,2022-04-29,Tech Failure,ATM Network,50.89,1,0.65,1.27,1.0,3.4,15,2,4,2,2022,4,50.88999994911,0.5118110232190464,0.8255,15.0,0.22666666665155555,4,0,OLE,1,0,-0.0661036607224807,0.7939289751538537,0,0,58.94546963776827,2,0.461831681330687,30.94295994599186,MEDIUM
OLE-0232,2023-11-30,Tech Failure,E-Banking,32.07,5,0.34,0.68,1.0,3.8,22,0,11,4,2023,3,6.4139999987172,0.4999999992647059,1.1560000000000001,22.0,0.17272727271942148,4,1,OLE,1,0,-0.04044450866818072,1.0401603170535192,0,0,31.129919893831804,1,0.28069045121460096,23.847321110474436,LOW
OLE-0291,2023-11-12,Cyber-Fraud,Payments,34.75,3,0.7,1.25,1.0,3.4,24,0,11,4,2023,6,11.583333329472222,0.559999999552,2.6249999999999996,24.0,0.14166666666076388,0,3,OLE,1,0,-0.05663031071255642,1.0050965552952247,0,0,40.14191872603671,0,0.3039249605125544,23.81904268186799,LOW
ALE-0335,2022-10-16,Phishing,Online Services,192.93,5,1.67,2.14,1.79,2.8,21,0,10,4,2022,6,38.5859999922828,0.7803738314110401,17.869,37.59,0.1333333333269841,2,2,ALE,0,0,-0.06754424725351288,1.0644503980357582,0,0,183.72975587662185,0,0.30902402503466275,44.67021067377355,MEDIUM
OLE-0619,2023-09-16,Cyber-Fraud,Retail Banking,57.33,5,0.92,1.49,1.0,3.4,14,1,9,3,2023,5,11.465999997706799,0.6174496640151345,6.854000000000001,14.0,0.2428571428397959,0,4,OLE,1,0,-0.034892194272990174,0.7096712789883997,0,0,53.382683248868794,0,0.27705544871571597,27.923447417960602,LOW
OLE-0298,2022-03-12,Tech Failure,Retail Banking,102.76,1,0.94,1.01,1.0,3.7,22,0,3,1,2022,5,102.75999989724,0.9306930683854523,0.9493999999999999,22.0,0.16818181817417355,4,4,OLE,1,0,-0.05679623955506452,0.11528818321253315,0,0,85.99534285663907,0,0.23898205279451337,28.60571020763773,LOW
ALE-0880,2022-10-30,System Failure,Online Services,104.03,1,1.32,2.42,2.75,3.3,24,1,10,4,2022,6,104.02999989597,0.545454545229151,3.1944,66.0,0.13749999999427082,3,2,ALE,0,0,-0.045582107926981585,0.09867214685692346,0,0,132.03912848205547,1,0.17436715300960448,35.00360288416219,MEDIUM
ALE-0227,2022-10-12,Tech Failure,Retail Banking,46.37,4,2.93,3.41,3.25,2.6,29,1,10,4,2022,2,11.592499997101875,0.8592375364049156,39.9652,94.25,0.08965517241070155,4,4,ALE,0,1,0.06324202652137179,0.8530663643879924,0,1,68.63842331709958,0,0.3418631375521702,46.08973409020649,MEDIUM
OLE-0411,2022-12-07,Tech Failure,Payments,44.84,4,0.79,0.63,1.0,2.8,19,1,12,4,2022,2,11.209999997197501,1.2539682519778284,1.9908000000000001,19.0,0.14736842104487533,4,3,OLE,1,0,-0.06334378639099736,0.8730841089738843,0,0,41.687990923010354,2,0.39306199305285505,26.251250104114554,LOW
ALE-0826,2022-04-14,System Failure,Payments,81.88,4,1.67,1.97,1.9,2.8,28,2,4,2,2022,3,20.4699999948825,0.8477157356102966,13.1596,53.199999999999996,0.09999999999642857,3,3,ALE,0,0,-0.06587123054384697,0.3884715210905894,0,0,85.75700564909471,2,0.394758078024009,32.76879377648408,MEDIUM
OLE-0586,2023-04-05,Tech Failure,Payments,58.38,4,1.11,0.8,1.0,2.8,18,1,4,2,2023,2,14.59499999635125,1.387499998265625,3.5520000000000005,18.0,0.15555555554691358,4,3,OLE,1,0,-0.08823157926242847,0.6959336111353365,0,0,61.46598056788886,1,0.35000480563187186,24.364895046490712,LOW
ALE-0321,2022-06-03,System Failure,Payments,120.28,4,1.22,1.82,1.55,3.7,26,2,6,2,2022,4,30.0699999924825,0.6703296699613572,8.8816,40.300000000000004,0.14230769230221893,3,3,ALE,0,0,-0.08634411145384085,0.11393461753572082,0,0,126.18727002738454,2,0.4695788648117421,38.80735528050717,MEDIUM
ALE-0179,2022-09-11,Data Breach,ATM Network,126.81,5,1.44,2.53,2.99,2.8,17,0,9,3,2022,6,25.3619999949276,0.56916996024934,18.215999999999998,50.830000000000005,0.1647058823432526,1,0,ALE,0,0,-0.04619333313175522,0.19936982808858034,0,0,114.95080828367762,0,0.29788825316806034,36.60301896245318,MEDIUM
ALE-0979,2022-07-09,Cyber-Fraud,ATM Network,18.2,2,1.87,3.02,2.1,3.1,29,0,7,3,2022,5,9.09999999545,0.6192052978082102,11.2948,60.900000000000006,0.10689655172045184,0,0,ALE,0,0,-0.04066856904070448,1.221628367645887,0,0,30.442898792115678,0,0.2525525739589261,22.725459210862503,LOW
ALE-0046,2022-11-10,Tech Failure,ATM Network,158.24,2,2.46,3.43,2.55,2.5,18,1,11,4,2022,3,79.11999996044,0.7172011659716614,16.875600000000002,45.9,0.13888888888117285,4,0,ALE,0,0,-0.02828574893658664,0.6105840191569379,0,0,175.40443901122498,1,0.3163840042591971,49.05917713711494,MEDIUM
OLE-0368,2023-10-23,Data Breach,Retail Banking,5.0,2,0.71,1.33,1.0,3.9,21,1,10,4,2023,0,2.49999999875,0.533834586064786,1.8886,21.0,0.18571428570544218,1,4,OLE,1,0,-0.054199356594410775,1.3943304777986811,0,0,11.740724342849264,1,0.3093953188567761,19.959077064184864,LOW
OLE-0832,2022-09-11,Cyber-Fraud,Retail Banking,21.04,3,0.79,0.79,1.0,3.3,22,2,9,3,2022,6,7.013333330995555,0.9999999987341772,1.8723,22.0,0.1499999999931818,0,4,OLE,1,0,-0.0735922205774513,1.1844712469766494,0,0,26.952060400256812,2,0.46004852017819264,24.905464285143637,LOW
OLE-0248,2022-06-29,Tech Failure,Payments,103.86,2,1.27,0.7,1.0,3.0,19,0,6,2,2022,2,51.929999974035,1.8142857116938778,1.7779999999999998,19.0,0.157894736833795,4,3,OLE,1,0,-0.0822551272637389,0.10089634069980039,0,0,86.93276422725499,0,0.278672557348329,26.626585558973442,LOW
ALE-1054,2022-03-30,Cyber-Fraud,Online Services,197.22,4,2.81,3.43,2.72,4.0,24,1,3,1,2022,2,49.304999987673746,0.8192419822684426,38.553200000000004,65.28,0.1666666666597222,0,2,ALE,0,0,-0.011502610334912178,1.1205785838354163,0,0,194.7188211002274,1,0.26095742800590654,52.4184812863281,HIGH
ALE-0423,2022-04-28,Tech Failure,ATM Network,61.13,1,2.08,3.38,2.97,3.9,15,0,4,2,2022,3,61.12999993887,0.615384615202549,7.0304,44.550000000000004,0.25999999998266665,4,0,ALE,0,0,-0.002385926651326309,0.6599540048535043,0,0,111.35602247189141,0,0.1700364270479909,37.61796140970727,MEDIUM
OLE-0136,2022-04-26,System Failure,Payments,43.44,3,0.57,1.23,1.0,3.4,24,1,4,2,2022,1,14.479999995173332,0.46341463376958153,2.1033,24.0,0.14166666666076388,3,3,OLE,1,0,-0.08884339598772983,0.8914009994446354,0,0,48.73343234411089,1,0.33652792129267495,21.842096954477302,LOW
